category,spending_m,multiplier,tax_exp_total_m
Health (federal),132249,2.0,269525
Disability (NDIS etc.),86338,3.1,269525
Education (federal),50901,5.3,269525
Defence,47785,5.6,269525
Public hospitals grants,30217,8.9,269525
JobSeeker (unemployed/sick),16728,16.1,269525
Foreign aid,7488,36.0,269525
