state,top_or_bottom,rank_state,postcode,suburb,individuals,avg_taxable_income,median_taxable_income,rank_australia
NT,Bottom,1,0852,"ARNOLD, BAINES, BARUNGA, BESWICK, BESWICK CREEK, BINJARI, BIRDUM, BRADSHAW, BUCHANAN, BULMAN WEEMOL, CRESWELL, DAGURAGU, DALY WATERS, DELAMERE, EDITH, ELSEY, FLORINA, FLYING FOX, GREGORY, GULUNG MARDRULK, GURINDJI, HELEN SPRINGS STATION, JILKMINGGAN, KALKARINDJI, KATHERINE, LAJAMANU, LARRIMAH, LIMMEN, MANBULLOO, MARANBOY, MATARANKA, MCARTHUR, MINIYERI, NGUKURR, NITMILUK, NUTWOOD DOWNS, PELLEW ISLANDS, PIGEON HOLE, ROBINSON RIVER, STURT PLATEAU, TANAMI EAST, TIMBER CREEK, TOP SPRINGS, URALLA, VENN, VICTORIA RIVER, WARUMUNGU, WILTON, YARRALIN",2215,48340,39421,2433
NT,Bottom,2,0872,"ALI CURUNG, ALICE SPRINGS, AMATA (SA), AMPILATWATJA, ANANGU PITJANTJATJARA YANKUNYTJATJARA (SA), ANATYE, ANMATJERE, AREYONGA, ATITJERE, AYERS RANGE SOUTH (SA), BARROW CREEK, BURT PLAIN, CANTEEN CREEK, CHILLA WELL, COSTELLO, DAVENPORT, DE ROSE HILL (SA), ENGAWALA, ERNABELLA (SA), FINKE, GHAN, GIBSON DESERT NORTH (WA), GIBSON DESERT SOUTH (WA), HAASTS BLUFF, HALE, HART, HERMANNSBURG, HUGH, IMANPA, INDULKANA (SA), ININTI STORE, IRRUNYTJU (WA), IWANTJA (SA), KALKA (SA), KALTJITI (SA), KALTUKATJARA, KANPA (WA), KANPI (SA), KINTORE, KIWIRRKURRA (WA), KULGERA, KUNPARRKA, LAKE MACKAY, LAMBINA (SA), LARAMBA, MACDONNELL RANGE, MANTAMARU (WA), MEREENIE, MIMILI (SA), MOUNT LIEBIG, MOUNT ZEIL, MURPUTJA (SA), MUTITJULU, NAMATJIRA, NAPPERBY STATION, NGAANYATJARRA-GILES (WA), NYAPARI (SA), NYIRRIPI, PAPULANKUTJA (WA), PAPUNYA, PATJARR (WA), PETERMANN, PIPALYATJARA (SA), PUKATJA (SA), SANDOVER, SANTA TERESA, SIMPSON, TANAMI, TARA, TELEGRAPH STATION, TI TREE, TIEYON (SA), TITJIKALA, TJIRRKARLI (WA), TJUKURLA (WA), UMUWA (SA), WALLACE ROCKHOLE, WANARN (WA), WARAKURNA (WA), WATARRU (SA), WATINUMA (SA), WILLOWRA, WILORA, WINGELLINA (WA), WUTUNUGURRA, YUELAMU, YUENDUMU, YULARA, YUNYARINYI (SA)",4079,49478,40173,2386
NT,Bottom,3,0854,BORROLOOLA,428,49972,38674,2371
NT,Bottom,4,0862,"CALVERT, ELLIOTT, NEWCASTLE WATERS, NICHOLSON, PAMAYU, TABLELANDS, TENNANT CREEK",263,50807,49443,2332
NT,Bottom,5,0847,PINE CREEK,166,52146,38183,2248
NT,Bottom,6,0840,"DUNDEE BEACH, DUNDEE DOWNS, DUNDEE FOREST",227,54343,42571,2104
NT,Bottom,7,0822,"ACACIA HILLS, ANGURUGU, ANINDILYAKWA, BATHURST ISLAND, BEES CREEK, BELYUEN, BLACK JUNGLE, BLACKMORE, BURRUNDIE, BYNOE, BYNOE HARBOUR, CAMP CREEK, CHANNEL ISLAND, CHARLES DARWIN, CHARLOTTE, CLARAVALE, COBOURG, COLLETT CREEK, COOMALIE CREEK, COX PENINSULA, DALY, DALY RIVER, DARWIN RIVER DAM, DOUGLAS-DALY, EAST ARM, EAST ARNHEM, ELRUNDIE, EVA VALLEY, FINNISS VALLEY, FLEMING, FLY CREEK, FREDS PASS, GALIWINKU, GLYDE POINT, GOULBURN ISLAND, GUNBALANYA, GUNN POINT, HIDDEN VALLEY, HOTHAM, HUGHES, KAKADU, KOOLPINYAH, LAKE BENNETT, LAMBELLS LAGOON, LITCHFIELD PARK, LIVINGSTONE, LLOYD CREEK, MANDORAH, MANINGRIDA, MAPURU, MARANUNGA, MARGARET RIVER, MARRAKAI, MCMINNS LAGOON, MICKETT CREEK, MIDDLE POINT, MILIKAPITI, MILINGIMBI, MILYAKBURRA, MINJILANG, MOUNT BUNDEY, MURRUMUJUK, NAUIYU, NEMARLUK, NGANMARRIYANGA, NUMBULWAR, NUMBURINDI, OENPELLI, PEPPIMENARTI, PIRLANGIMPI, POINT STUART, PULARUMPI, RAKULA, RAMINGINING, ROBIN FALLS, RUM JUNGLE, SANDPALMS ROADHOUSE, SOUTHPORT, STAPLETON, THAMARRURR, TIPPERARY, TIVENDALE, TIWI ISLANDS, TORTILLA FLATS, TUMBLING WATERS, UMBAKUMBA, VERNON ISLANDS, WADEYE, WAGAIT BEACH, WAK WAK, WARRUWI, WEDDELL, WEST ARNHEM, WICKHAM, WINNELLIE, WISHART, WURRUMIYANGA",7431,55443,41502,2018
NT,Bottom,8,0845,BATCHELOR,290,57229,48191,1864
NT,Bottom,9,0846,ADELAIDE RIVER,225,63693,48060,1386
NT,Bottom,10,0875,"FLYNN, LARAPINTA",947,67525,58984,1126
