state,postcode,individuals,taxable_individuals,total_taxable_income,avg_taxable_income,median_taxable_income,rank_australia,rank_state
VIC,3042,10557,10474,817018222,77391,64747,600,131
VIC,3043,10324,10240,672489382,65138,56769,1292,310
VIC,3044,18063,17930,1437156868,79564,66013,522,115
VIC,3046,23070,22758,1508981874,65409,57223,1275,304
VIC,3047,10463,10239,506103508,48371,41755,2432,653
VIC,3048,7900,7733,387194513,49012,43214,2404,645
VIC,3049,5964,5917,403275166,67618,58481,1116,257
VIC,3051,10442,10316,749689563,71796,52739,862,190
VIC,3052,4074,4011,301912462,74107,49638,746,168
VIC,3053,12638,12385,692768395,54816,35354,2066,527
VIC,3054,5928,5880,626762038,105729,64947,155,40
VIC,3055,10133,10068,777959303,76775,62667,623,138
VIC,3056,18648,18501,1512120638,81088,65116,484,109
VIC,3057,10078,10019,845942366,83940,70540,412,99
VIC,3058,22783,22604,1762499390,77360,62085,601,132
VIC,3059,13810,13648,1017383464,73670,58222,767,171
VIC,3060,7829,7629,462335756,59054,48811,1739,440
VIC,3061,2381,2334,127714494,53639,44803,2159,567
VIC,3062,86,83,10753288,125038,81654,70,17
VIC,3063,377,375,28455260,75478,53624,676,147
VIC,3064,69206,68018,4008226959,57917,50931,1814,455
VIC,3065,7351,7283,746251202,101517,68972,182,52
VIC,3066,6963,6903,637774427,91595,74601,284,74
VIC,3067,6992,6919,624734668,89350,70745,314,80
VIC,3068,13044,12964,1393583027,106837,72980,148,39
VIC,3070,16965,16861,1686070890,99385,71523,199,56
VIC,3071,12290,12222,1037380596,84409,66458,398,96
VIC,3072,22017,21824,1607902317,73030,60360,800,175
VIC,3073,30372,30079,2036632057,67056,57304,1160,273
VIC,3074,10854,10688,600920750,55364,48548,2027,517
VIC,3075,12200,12015,686652347,56283,50400,1942,490
VIC,3076,19265,19008,1142820432,59321,52866,1721,432
VIC,3078,8513,8461,866111573,101740,71409,181,51
VIC,3079,12046,11939,1298725778,107814,69147,141,35
VIC,3081,8603,8501,583286859,67800,58274,1094,251
VIC,3082,17402,17230,1096437312,63006,54611,1435,350
VIC,3083,19770,19513,1249641552,63209,51903,1419,345
VIC,3084,17397,17259,1570781898,90290,65428,301,77
VIC,3085,8714,8644,682993088,78379,62342,571,128
VIC,3086,72,72,6169120,85682,68851,374,92
VIC,3087,5446,5414,404601302,74293,63729,730,161
VIC,3088,16968,16846,1297870791,76489,64006,633,142
VIC,3089,8310,8258,660909378,79532,64156,524,116
VIC,3090,1806,1795,181010634,100227,67629,190,54
VIC,3091,1132,1118,131032942,115753,62659,98,24
VIC,3093,2584,2567,257900447,99807,64369,193,55
VIC,3094,5672,5629,445822124,78601,63160,559,126
VIC,3095,18474,18320,1596532340,86421,62901,366,91
